Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Tasting Table acquires Flavour,Flavour,Tasting Table,06/15/2015,
OpenSky acquires 11 Main,11 Main,OpenSky,06/23/2015,
Digital Asset acquires Hyper,Hyper,Digital Asset,06/25/2015,
MAG Interactive acquires Delinquent Interactive,Delinquent Interactive,MAG Interactive,07/01/2015,
Splunk acquires Caspida,Caspida,Splunk,07/09/2015,"$190,000,000"
Delphi Automotive PLC acquires Ottomatika,Ottomatika,Delphi Automotive PLC,08/04/2015,
LIGA acquires Learning outcomes,Learning outcomes,LIGA,08/05/2015,"$950,000"
Affirm acquires LendLayer,LendLayer,Affirm,08/05/2015,
Hortonworks acquires Onyara,Onyara,Hortonworks,08/25/2015,
Novo Nordisk acquires MB2,MB2,Novo Nordisk,08/27/2015,
Weeby.co acquires Tappy PTE. LTD.,Tappy PTE. LTD.,Weeby.co,05/26/2015,
Datapipe acquires DualSpark,DualSpark,Datapipe,09/09/2015,
Cloud4Wi acquires Hadabean,Hadabean,Cloud4Wi,09/09/2015,
Zynga acquires Rising Tide Games,Rising Tide Games,Zynga,09/14/2015,
Gympik acquires FitnessPapa,FitnessPapa,Gympik,09/14/2015,
homelane acquires doowup,doowup,homelane,09/15/2015,
Livspace acquires YoFloor,YoFloor,Livspace,09/10/2015,
Bitpagos acquires Unisend Latinamerican Bitcoin Exchange,Unisend Latinamerican Bitcoin Exchange,Bitpagos,09/16/2015,
Q4 acquires Oxford Intelligence Partners,Oxford Intelligence Partners,Q4,09/16/2015,
Jukin Media acquires People are Awesome,People are Awesome,Jukin Media,09/23/2015,
Global Marketing & Sale (GMS) acquires SYMOVA,SYMOVA,Global Marketing & Sale (GMS),09/22/2015,
HelpChat acquires Niffler,Niffler,HelpChat,09/25/2015,
Mebelkart acquires 53central,53central,Mebelkart,09/29/2015,
Barons Media acquires Monarch Ads,Monarch Ads,Barons Media,10/02/2015,
Apple acquires Perceptio,Perceptio,Apple,10/05/2015,
Kurt Salmon acquires Mobispoke,Mobispoke,Kurt Salmon,10/06/2015,
LAKANA acquires Kixer,Kixer,LAKANA,10/06/2015,
Risk Management Solutions acquires HWind Scientific,HWind Scientific,Risk Management Solutions,10/07/2015,
Vidyard acquires Switch Merge,Switch Merge,Vidyard,10/07/2015,
Gannett Co Inc acquires Journal Media Group,Journal Media Group,Gannett Co Inc,10/07/2015,"$280,000,000"
RiskIQ acquires PassiveTotal,PassiveTotal,RiskIQ,10/08/2015,
Marvel acquires Plexi,Plexi,Marvel,10/11/2015,
Coinify ApS acquires Coinzone,Coinzone,Coinify ApS,08/12/2015,
Invacio acquires Lavaboom,Lavaboom,Invacio,09/01/2015,
Gravity4 acquires Conyak,Conyak,Gravity4,10/20/2015,
SWK Technologies acquires Oates & Co,Oates & Co,SWK Technologies,10/20/2015,
Grofers acquires Townrush,Townrush,Grofers,10/27/2015,
MagicTiger acquires Zoyo AI,Zoyo AI,MagicTiger,10/28/2015,
Trent acquires eatshoplove,eatshoplove,Trent,10/28/2015,
Taskbob acquires Zepper,Zepper,Taskbob,11/02/2015,
Chef acquires VulcanoSec,VulcanoSec,Chef,11/03/2015,
"NEXMachine, LLC acquires Scholastic Connections, LLC","Scholastic Connections, LLC","NEXMachine, LLC",02/13/2015,
J. B. Poindexter & Co. acquires ReadyAssist Automobile Services,ReadyAssist Automobile Services,J. B. Poindexter & Co.,11/02/2015,
Quikr acquires Indian Realty Exchange (IRX),Indian Realty Exchange (IRX),Quikr,11/06/2015,
All Web Leads acquires InsuranceQuotes.com,InsuranceQuotes.com,All Web Leads,11/06/2015,
Shadowfax Technologies acquires Pickingo,Pickingo,Shadowfax Technologies,11/09/2015,
RecruitLoop acquires Red Bridge,Red Bridge,RecruitLoop,11/10/2015,
Ola acquires Geotagg,Geotagg,Ola,11/11/2015,
Skyscanner acquires Dorsai Travel,Dorsai Travel,Skyscanner,10/22/2014,
Chatbooks acquires guesterly,guesterly,Chatbooks,11/20/2015,
Quby acquires Joulo,Joulo,Quby,02/02/2015,
VanityTrove acquires Padang,Padang,VanityTrove,11/24/2015,
Wallapop acquires Sell it,Sell it,Wallapop,11/25/2015,
Tri Global Energy acquires K12 Solar Investment Fund,K12 Solar Investment Fund,Tri Global Energy,12/01/2015,
MagicTiger acquires Instano,Instano,MagicTiger,12/03/2015,
Indegene Lifesystems acquires SmartCare,SmartCare,Indegene Lifesystems,12/02/2015,
AdSpark acquires Socialytics.io,Socialytics.io,AdSpark,12/04/2015,
Perficient acquires Enlighten,Enlighten,Perficient,12/04/2015,
"Jam City acquires Fat Rascal Games, Inc.","Fat Rascal Games, Inc.",Jam City,12/09/2015,
LabX Media Group acquires Biotech Connect,Biotech Connect,LabX Media Group,12/14/2015,
Salesforce acquires MinHash,MinHash,Salesforce,12/14/2015,
